Name,Nickname,City,State,Conference
Air Force,Falcons,Colorado Springs,Colorado,Mountain West
Akron,Zips,Akron,Ohio,MAC
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt
Arizona,Wildcats,Tucson,Arizona,Pac-12
Arizona State,Sun Devils,Tempe,Arizona,Pac-12
Arkansas,Razorbacks,Fayetteville,Arkansas,SEC
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt
Army,Black Knights,West Point,New York,Independent
Auburn,Tigers,Auburn,Alabama,SEC
Ball State,Cardinals,Muncie,Indiana,MAC
Baylor,Bears,Waco,Texas,Big 12
Boise State,Broncos,Boise,Idaho,Mountain West
Boston College,Eagles,Chestnut Hill,Massachusetts,ACC
Bowling Green,Falcons,Bowling Green,Ohio,MAC
Buffalo,Bulls,Buffalo,New York,MAC
BYU,Cougars,Provo,Utah,Independent[n 3]
California,Golden Bears,Berkeley,California,Pac-12
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC
Charlotte,49ers,Charlotte,North Carolina,C-USA[n 4]
Cincinnati,Bearcats,Cincinnati,Ohio,American[n 3]
Clemson,Tigers,Clemson,South Carolina,ACC
Coastal Carolina,Chanticleers,Conway,South Carolina,Sun Belt
Colorado,Buffaloes,Boulder,Colorado,Pac-12
Colorado State,Rams,Fort Collins,Colorado,Mountain West
Duke,Blue Devils,Durham,North Carolina,ACC
East Carolina,Pirates,Greenville,North Carolina,American
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC
Florida Atlantic,Owls,Boca Raton,Florida,C-USA[n 4]
FIU,Panthers,Miami,Florida,C-USA
Florida,Gators,Gainesville,Florida,SEC
Florida State,Seminoles,Tallahassee,Florida,ACC
Fresno State,Bulldogs,Fresno,California,Mountain West
Georgia,Bulldogs,Athens,Georgia,SEC
Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt
Georgia State,Panthers,Atlanta,Georgia,Sun Belt
