Name,Short Name,Abbreviation,City,State,Conference
Arizona Cardinals,Cardinals,ARZ,Glendale,AZ,NFC
Atlanta Falcons,Falcons,ATL,Atlanta,GA,NFC
Baltimore Ravens,Ravens,BLT,Baltimore,MD,AFC
Buffalo Bills,Bills,BUF,Buffalo,NY,AFC
Carolina Panthers,Panthers,CAR,Charlotte,NC,NFC
Chicago Bears,Bears,CHI,Chicago,IL,NFC
Cincinnati Bengals,Bengals,CIN,Cincinnati,OH,AFC
Cleveland Browns,Browns,CLV,Cleveland,OH,AFC
Dallas Cowboys, Cowboys,DAL,Dallas,TX,NFC
Denver Broncos,Broncos,DEN,Denver,CO,AFC
Detroit Lions,Lions,DET,Detroit,MI,NFC
Green Bay Packers,Packers,GB,Green Bay,WI,NFC
Houston Texans,Texans,HST,Houston,TX,AFC
Indianapolis Colts,Colts,IND,Indianapolis,IN,AFC
Jacksonville Jaguars,Jaguars,JAX,Jacksonville,FL,AFC
Kansas City Chiefs,Chiefs,KC,Kansas City,MO,AFC
Las Vegas Raiders,Raiders,LV,Las Vegas,NV,AFC
Los Angeles Chargers,Chargers,LAC,Los Angeles,CA,AFC
Los Angeles Rams,Rams,LAR,Los Angeles,CA,NFC
Miami Dolphins,Dolphins,MIA,Miami,FL,AFC
Minneapolis Vikings,Vikings,MIN,Minneapolis,MN,NFC
New England Patriots,Patriots,NE,Foxboro,MA,AFC
New Orleans Saints,Saints,NO,New Orleans,LA,NFC
New York Giants,Giants,NYG,East Rutherford,NJ,NFC
New York Jets,Jets,NYJ,East Rutherford,NJ,AFC
Philadelphia Eagles,Eagles,PHI,Philadelphia,PA,NFC
Pittsburg Steelers,Steelers,PIT,Pittsburg,PA,AFC
San Francisco 49ers,49ers,SF,San Francisco,CA,NFC
Seattle Seahawks,Seahawks,SEA,Seattle,WA,NFC
Tampa Bay Buccaneers,Buccaneers,TB,Tampa,FL,NFC
Tennessee Titans,Titans,TEN,Nashville,TN,AFC
Washington Commanders,Commanders,WAS,Washington,DC,NFC
